name,type,district,address,area,price,total
恒大天府城邦,住宅,新津,普兴镇骑龙村5组,100-135㎡,8200,94
亚特兰蒂斯黄金时代,别墅,新津,天府新城南（成雅高速邓双出口下前行500米处）,457㎡,700,822
领地天府兰台,住宅,新津,花源镇紫云路兴普大道399号,121-176㎡,10000,181
龙湖双珑原著,别墅,新津,花源镇青云路155号,149-163㎡,13000,178
龙光玖龙府,住宅,新津,花源镇东篱路100号,74-115㎡,10500,105
中交牧山美庐,住宅,新津,青云路中交牧山美庐,105-120㎡,11880,126
融信澜天,住宅,新津,谷底湖南三路,95-186㎡,8700,85
金融街金悦府,商业,新津,希望路166号,待定,120,0
五津望江名门,商业类,新津,桥津上街99号,43-88㎡,7000,30
恒大天府城邦,底商,新津,谷底湖东路恒大天府城邦,待定,10000,0
恒大天府城邦,商业,新津,谷底湖东路恒大天府城邦,待定,13000,0
融信翡翠嘉苑,住宅,新津,瑞通路138号（教师公寓2小区旁）,待定,价格待定,0
隆鑫印象城邦,住宅,新津,兴园3路6号,91-95㎡,4600,0
万辰柳庄,住宅,新津,花源镇花源大道288号,待定,5400,0
花桥雅苑,住宅,新津,花桥龚巷村一组,73-117㎡,4900,0
枫山美地,别墅,新津,五津五河路15号（新津老南桥与步行桥之间）,270㎡,260,0
北大资源颐和雅郡,住宅,新津,兴园五路中段,95㎡,7500,0
天山名苑,住宅,新津,花源镇花翠北街49号,待定,5300,0
美好庄园,别墅,新津,邓双镇芝芝路888号,753-1070㎡,15000,1129
花样年君山,住宅,新津,君山路1号,待定,6000,0
蓝泊湾,别墅,新津,"牧马山蓝泊湾（长桥郡旁）, 白云路9号",196-218㎡,价格待定,0
万辰乐居,底商,新津,花源镇花源大道290号,待定,14000,0
花桥雅苑,底商,新津,花桥龚巷村一组,待定,19000,0
丽都佳苑,住宅,新津,花源镇兴普大道,137㎡,7000,0
翡翠湾纯水岸,底商,新津,新津县瑞通路138号,待定,24000,0
翡翠中心,底商,新津,新津县瑞通路138号,待定,24000,0
翡翠中心,商业类,新津,新津县瑞通路138号,待定,7200,0
时代广场(新津),商业类,新津,新津县瑞通路138号,待定,5800,0
翡翠名邸,底商,新津,新津县瑞通路138号,待定,24000,0
优品生活广场,商业,新津,五津镇外西街60-68号,待定,22000,0
北大资源颐和雅郡,商业,新津,兴园五路中段,待定,23000,0
龙湖悠山郡一期,别墅,新津,花苑镇丽景路428号,待定,250,0
花样年君山,别墅,新津,君山路1号,待定,价格待定,0
金科廊桥水乡,别墅,新津,花源镇1888号,待定,160,0
新城金樾府邸,住宅,新津,老码头二期旁,109-146㎡,9453,110
铁投牧山溪岸,住宅,新津,柳河路铁投牧山溪岸,待定,价格待定,0
中交牧山美庐,别墅,新津,新津县花源镇花源镇青云路1111号,待定,价格待定,0
花样年看今朝,住宅,新津,新津县团结岛五河路88号旁,134-142㎡,13000,174
铁投牧山溪岸,别墅,新津,花源镇杨柳河畔（杨柳河东侧、花源镇柳河苑5期南侧）,待定,价格待定,0
隆鑫公园首府,住宅,新津,兴园三路36号,待定,7850,0
